emotion,speed_delta,pitch_delta,intonation_delta,volume_delta,pause_length_delta,notes
通常,0.00,0.00,0.00,0.00,0.00,標準
怒り,0.08,-0.02,0.25,0.12,-0.05,強く言う
悲しみ,-0.10,-0.04,-0.20,-0.10,0.15,落ち込む
喜び,0.10,0.04,0.25,0.08,-0.05,明るく
驚き,0.12,0.06,0.35,0.08,-0.08,反応を強く
不安,-0.06,0.02,0.12,-0.12,0.15,弱く迷う
冷静,-0.08,-0.02,-0.18,-0.03,0.12,落ち着く
緊張,-0.05,0.01,0.08,-0.04,0.10,静かな緊張
ささやき,-0.12,-0.02,-0.25,-0.35,0.10,小声
温かい,-0.06,-0.01,-0.08,0.00,0.12,静かな温かさ
ひらめき,0.04,0.03,0.18,0.02,-0.04,気づき
決心,-0.02,-0.01,0.08,0.02,0.04,決意
祈り,-0.12,-0.02,-0.20,-0.20,0.15,祈るように
優しさ,-0.06,-0.01,-0.10,-0.02,0.12,穏やか
照れ,-0.02,0.01,0.05,-0.03,0.05,控えめな照れ
愛情,-0.08,-0.01,-0.12,-0.05,0.14,静かな愛情
期待,0.04,0.02,0.12,0.02,-0.02,期待
涙まじりの喜び,-0.04,0.01,0.05,-0.06,0.10,喜びと悲しみの混合
